epoch,train_loss,val_loss,accuracy,precision,recall,f1_score,learning_rate,epoch_time,true_positives,false_positives,true_negatives,false_negatives
1,0.4224660113453865,0.2952413000166416,0.85,1.0,0.7142857142857143,0.8333333333333334,0.001,1.0963709354400635,15,0,19,6
2,0.19092128947377204,0.3763408793602139,0.85,1.0,0.7142857142857143,0.8333333333333334,0.001,0.7449657917022705,15,0,19,6
3,0.1009848177433014,0.3224491791334003,0.875,1.0,0.7619047619047619,0.8648648648648649,0.001,0.7219069004058838,16,0,19,5
4,0.07700465004891158,0.303196207707515,0.875,1.0,0.7619047619047619,0.8648648648648649,0.001,0.6901121139526367,16,0,19,5
5,0.05788873061537743,0.408690210984787,0.9,1.0,0.8095238095238095,0.8947368421052632,0.001,0.6855118274688721,17,0,19,4
6,0.02409440539777279,0.31873918807832524,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7925629615783691,18,0,19,3
7,0.019815584644675255,0.27284762979252264,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7185208797454834,18,0,19,3
8,0.013718320149928331,0.3428804937720997,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.6959619522094727,18,0,19,3
9,0.004193955147638917,0.3289329096005531,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7310850620269775,18,0,19,3
10,0.0028791432734578846,0.2842638773727231,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.6930549144744873,18,0,19,3
