train_loss,val_loss,accuracy,precision,recall,f1_score,learning_rate,epoch_time,true_positives,false_positives,true_negatives,false_negatives
0.4224660113453865,0.2952413000166416,0.85,1.0,0.7142857142857143,0.8333333333333334,0.001,2.0893168449401855,15,0,19,6
0.19092128947377204,0.3763408793602139,0.85,1.0,0.7142857142857143,0.8333333333333334,0.001,0.9460880756378174,15,0,19,6
0.1009848177433014,0.3224491791334003,0.875,1.0,0.7619047619047619,0.8648648648648649,0.001,0.7823398113250732,16,0,19,5
0.07700465004891158,0.303196207707515,0.875,1.0,0.7619047619047619,0.8648648648648649,0.001,0.7568509578704834,16,0,19,5
0.05788873061537743,0.408690210984787,0.9,1.0,0.8095238095238095,0.8947368421052632,0.001,0.7253291606903076,17,0,19,4
0.02409440539777279,0.31873918807832524,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7210640907287598,18,0,19,3
0.019815584644675255,0.27284762979252264,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7348599433898926,18,0,19,3
0.013718320149928331,0.3428804937720997,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7057132720947266,18,0,19,3
0.004193955147638917,0.3289329096005531,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7427020072937012,18,0,19,3
0.0028791432734578846,0.2842638773727231,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7089929580688477,18,0,19,3
0.0014285095036029815,0.23500063418759964,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7676219940185547,18,0,19,3
0.0075656712055206295,0.29094696628453676,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.9352519512176514,18,0,19,3
0.0264566108584404,0.288452153763501,0.9,0.9473684210526315,0.8571428571428571,0.9,0.001,0.7774748802185059,18,1,18,3
0.003608489339239895,0.12145401205634698,0.925,0.95,0.9047619047619048,0.926829268292683,0.001,0.7603659629821777,19,1,18,2
0.0012809026520699263,0.09947384893894196,0.975,0.9545454545454546,1.0,0.9767441860465116,0.001,0.7304418087005615,21,1,18,0
0.12319331571925432,0.8694055348169059,0.875,1.0,0.7619047619047619,0.8648648648648649,0.001,0.758721113204956,16,0,19,5
0.04041475420817733,0.3023916544043459,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7148392200469971,18,0,19,3
0.012889840360730886,0.14879579143598676,0.95,1.0,0.9047619047619048,0.95,0.001,0.7250981330871582,19,0,19,2
0.01299918508157134,0.15261881332844496,0.925,0.95,0.9047619047619048,0.926829268292683,0.001,0.750701904296875,19,1,18,2
0.0046318573877215385,0.17576009593904018,0.925,0.95,0.9047619047619048,0.926829268292683,0.001,0.7386901378631592,19,1,18,2
0.006732028280384839,0.27735321182990447,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7539851665496826,18,0,19,3
0.0042590965051203964,0.23351352743338794,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.8090059757232666,18,0,19,3
0.0029072396224364637,0.39951401948928833,0.875,0.8076923076923077,1.0,0.8936170212765957,0.001,1.1679801940917969,21,5,14,0
0.03551916079595685,0.2502212980762124,0.9,0.9473684210526315,0.8571428571428571,0.9,0.001,0.8659529685974121,18,1,18,3
0.03948329908307642,0.13806249893968925,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.001,0.7800889015197754,20,1,18,1
0.007290505641140044,0.10171538701979443,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.001,0.9631359577178955,20,1,18,1
0.02474061753600836,0.0798416854813695,0.975,1.0,0.9523809523809523,0.975609756097561,0.001,0.7494547367095947,20,0,19,1
0.01830727243795991,0.16086079133674502,0.975,1.0,0.9523809523809523,0.975609756097561,0.001,0.7578270435333252,20,0,19,1
0.009417778206989169,0.22292717278469354,0.95,1.0,0.9047619047619048,0.95,0.001,0.7592668533325195,19,0,19,2
0.006901015271432697,0.19973096624016762,0.95,1.0,0.9047619047619048,0.95,0.001,0.7992191314697266,19,0,19,2
0.005653744959272444,0.20605349726974964,0.95,1.0,0.9047619047619048,0.95,0.001,0.7595088481903076,19,0,19,2
0.012472448637709022,0.21940277052635793,0.925,1.0,0.8571428571428571,0.9230769230769231,0.001,0.7289400100708008,18,0,19,3
0.03671130599686876,0.15301453322172165,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.001,0.7732758522033691,20,1,18,1
0.008993447478860616,0.11702500656247139,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.001,0.731518030166626,20,1,18,1
0.00687850738177076,0.14284270256757736,0.925,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.001,0.7722408771514893,20,2,17,1
0.004055133427027613,1.1320284456014633,0.875,0.8076923076923077,1.0,0.8936170212765957,0.001,0.735090970993042,21,5,14,0
0.003434911812655628,0.488974466919899,0.9,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.001,0.7384519577026367,20,3,16,1
0.0010182085155975074,0.21669252216815948,0.9,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.001,0.7786948680877686,20,3,16,1
0.001029257313348353,0.1372799132950604,0.975,1.0,0.9523809523809523,0.975609756097561,0.001,0.7335982322692871,20,0,19,1
0.0003364093427080661,0.1489468483487144,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.001,0.8236391544342041,20,1,18,1
0.00033107541676145045,0.16353089342010207,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.001,0.8015048503875732,20,1,18,1
